iter	Logloss
0	0.6390587258
1	0.6009376463
2	0.5694378493
3	0.5447174256
4	0.5260105684
5	0.5111644692
6	0.4989079022
7	0.4901970186
8	0.4802546726
9	0.474025729
10	0.4670650614
11	0.4617452846
12	0.4553803462
13	0.4499100846
14	0.4447626962
15	0.4410271497
16	0.437201293
17	0.4339336165
18	0.4294277862
19	0.4268224642
20	0.4238940764
21	0.4186245575
22	0.415892291
23	0.4098156614
24	0.406149051
25	0.4042762712
26	0.4007307081
27	0.3978652871
28	0.394412056
29	0.3908609809
30	0.3870213082
31	0.3851613336
32	0.383234902
33	0.3804188484
34	0.3780932182
35	0.3761797603
36	0.3746682691
37	0.3721284412
38	0.3689145127
39	0.3672180687
40	0.3649405301
41	0.3640253217
42	0.3624011595
43	0.3590837787
44	0.3568011614
45	0.3540213569
46	0.3521355553
47	0.3497197835
48	0.3465930841
49	0.3448378615
50	0.3418489622
51	0.3392676619
52	0.3380588252
53	0.3359918498
54	0.3345370431
55	0.332102208
56	0.3303024802
57	0.3291654198
58	0.3270955079
59	0.3258349932
60	0.3243932084
61	0.3235485487
62	0.3216686683
63	0.3195790672
64	0.3184307662
65	0.3172798657
66	0.3155536954
67	0.3143217517
68	0.3128502165
69	0.3118959186
70	0.3110266114
71	0.309966358
72	0.3084850505
73	0.3071786105
74	0.3063995172
75	0.305368629
76	0.3036936794
77	0.3027552676
78	0.3020216663
79	0.3011104295
80	0.3000670009
81	0.2978292497
82	0.29685779
83	0.29614046
84	0.2952768333
85	0.2945420766
86	0.2930696027
87	0.2922314419
88	0.291676078
89	0.291149285
90	0.2905492233
91	0.2897271171
92	0.2888156395
93	0.2879558158
94	0.2868085739
95	0.2853765133
96	0.2843209535
97	0.2823569971
98	0.2818844094
99	0.2812685338
100	0.2800181285
101	0.2790242116
102	0.2776256081
103	0.2769626519
104	0.2762311206
105	0.2755816434
106	0.2747510647
107	0.274094872
108	0.2733201353
109	0.2718675432
110	0.2693090611
111	0.2686510151
112	0.2674665612
113	0.2666026216
114	0.2662604925
115	0.2655381078
116	0.2648288652
117	0.2644321698
118	0.2640985855
119	0.2636264311
120	0.2622171165
121	0.2616738838
122	0.2611820161
123	0.2602621381
124	0.2592967922
125	0.2585386396
126	0.2582188715
127	0.2575260205
128	0.2571147387
129	0.2568214474
130	0.2565175413
131	0.2560811307
132	0.2555793221
133	0.2544551632
134	0.2540628004
135	0.2538812896
136	0.2533427023
137	0.2529748426
138	0.2521694168
139	0.251518664
140	0.2512321844
141	0.250772426
142	0.2505110513
143	0.249840128
144	0.2488888629
145	0.2486445538
146	0.2482045085
147	0.2475542371
148	0.2467823647
149	0.2463436433
150	0.246089273
151	0.2455392526
152	0.2449009198
153	0.2448297933
154	0.2439114799
155	0.2434088049
156	0.2427996929
157	0.2426776587
158	0.2424099055
159	0.241613169
160	0.240852441
161	0.2405059793
162	0.2401506359
163	0.2396634619
164	0.2390054881
165	0.2385562723
166	0.2383161994
167	0.2376135761
168	0.237131216
169	0.2370992512
170	0.2367799885
171	0.2364916316
172	0.2362838365
173	0.2358897406
174	0.2350175691
175	0.2346721906
176	0.2344612664
177	0.2340199214
178	0.2334602008
179	0.2332592174
180	0.2327545927
181	0.2321953294
182	0.2317622645
183	0.231609132
184	0.2312014848
185	0.2308648677
186	0.2306903131
187	0.2301525923
188	0.229950574
189	0.2299324494
190	0.2295630251
191	0.2292335327
192	0.2287337461
193	0.2282301083
194	0.227384895
195	0.2264823233
196	0.2261970954
197	0.2258071155
198	0.2257020024
199	0.2254454417
200	0.2248637694
201	0.2240700416
202	0.2239327711
203	0.2236232568
204	0.2227779954
205	0.2223512126
206	0.2221885726
207	0.2215746707
208	0.2213099503
209	0.2208442466
210	0.22075307
211	0.2197947043
212	0.2196244341
213	0.2194506978
214	0.219341204
215	0.2191954369
216	0.218863706
217	0.2187015955
218	0.218094024
219	0.2178776119
220	0.2177320373
221	0.2175347367
222	0.2174220175
223	0.2169571562
224	0.2160572322
225	0.215734022
226	0.2153228125
227	0.2151205534
228	0.2149979415
229	0.2144107813
230	0.2132961541
231	0.213285804
232	0.2126915191
233	0.2123688626
234	0.2121407284
235	0.2116465019
236	0.2114590458
237	0.2108167896
238	0.2105237631
239	0.2101306541
240	0.2101224704
241	0.2099018941
242	0.2095402685
243	0.2092447146
244	0.2090007906
245	0.2088571658
246	0.2088144177
247	0.2084791004
248	0.2084274946
249	0.2083233203
250	0.208316677
251	0.208167155
252	0.2076257275
253	0.207449175
254	0.2071329933
255	0.2067837155
256	0.206767011
257	0.2063983329
258	0.2063947947
259	0.206013167
260	0.2059519814
261	0.2058438114
262	0.2057167225
263	0.2052944409
264	0.2050414666
265	0.2050340531
266	0.2048974325
267	0.2047958336
268	0.2043578103
269	0.2042027522
270	0.2038758353
271	0.2036610599
272	0.2034568753
273	0.2034445515
274	0.2034404596
275	0.2031802885
276	0.2029703752
277	0.2026291367
278	0.2025991938
279	0.2021517351
280	0.2016446914
281	0.2015723133
282	0.2014816541
283	0.2013604503
284	0.2011847163
285	0.2011509222
286	0.2009163253
287	0.2007243922
288	0.2001049903
289	0.1999545056
290	0.1999449137
291	0.1997740417
292	0.1995698451
293	0.1992074372
294	0.1990669053
295	0.1987132588
296	0.1985633517
297	0.1985566723
298	0.1981295165
299	0.1978284506
300	0.197102997
301	0.1970219056
302	0.19693452
303	0.1968145919
304	0.1962299228
305	0.196032201
306	0.1958756746
307	0.1958684537
308	0.1956784823
309	0.195339025
310	0.1953289036
311	0.1952502794
312	0.1950417261
313	0.1948697349
314	0.1944790449
315	0.1944751937
316	0.1943206291
317	0.1940404077
318	0.1938925586
319	0.1937845812
320	0.1937739303
321	0.1936303054
322	0.1936246971
323	0.1935259144
324	0.1935194516
325	0.1932409874
326	0.1929643284
327	0.1927905921
328	0.1926486401
329	0.1924096745
330	0.192273427
331	0.1921530897
332	0.1920178652
333	0.1918886702
334	0.1918820029
335	0.1918794996
336	0.1916393546
337	0.1915022286
338	0.191223307
339	0.1911380997
340	0.1911372211
341	0.1911331894
342	0.190945962
343	0.1908232298
344	0.1905839753
345	0.190508083
346	0.1904327323
347	0.1903060767
348	0.1902447467
349	0.1901484071
350	0.1900162996
351	0.1900109441
352	0.1900028085
353	0.1898847338
354	0.1897997551
355	0.1897967945
356	0.1896604628
357	0.189571645
358	0.1894776281
359	0.1890993702
360	0.1889573099
361	0.188637289
362	0.1884035827
363	0.1883923541
364	0.1882945823
365	0.1881172476
366	0.1878523587
367	0.1877999586
368	0.1877485935
369	0.1875504023
370	0.1875452513
371	0.1875411956
372	0.1875389811
373	0.1875336858
374	0.1875270425
375	0.1872050479
376	0.1872027131
377	0.1871017761
378	0.1869248747
379	0.1869178463
380	0.1867893854
381	0.1867869784
382	0.1867857027
383	0.1867692871
384	0.1867015063
385	0.1864013792
386	0.1861358525
387	0.1861330845
388	0.185905528
389	0.1857159056
390	0.1852344
391	0.1848507384
392	0.1847226386
393	0.1846380451
394	0.1845443411
395	0.1844058913
396	0.1840942948
397	0.1840890597
398	0.1839804564
399	0.1838661727
400	0.1837301178
401	0.1835994907
402	0.1835636627
403	0.1835059311
404	0.1831666784
405	0.1830325852
406	0.1827561308
407	0.182742074
408	0.1825690478
409	0.1823789079
410	0.1822434547
411	0.1821300496
412	0.1819818996
413	0.1818500448
414	0.1816586413
415	0.1816141
416	0.1816130048
