iter	Passed	Remaining
0	277	277279
1	517	258237
2	752	250043
3	958	238599
4	1179	234763
5	1393	230916
6	1606	227914
7	1810	224458
8	2009	221231
9	2211	218916
10	2421	217743
11	2615	215328
12	2828	214759
13	3063	215788
14	3274	215014
15	3496	215014
16	3702	214069
17	3903	212971
18	4122	212846
19	4336	212504
20	4537	211533
21	4754	211344
22	4957	210596
23	5180	210672
24	5396	210473
25	5593	209531
26	5809	209344
27	6009	208625
28	6246	209158
29	6474	209342
30	6684	208951
31	6894	208562
32	7114	208479
33	7321	208018
34	7520	207344
35	7733	207093
36	7935	206528
37	8135	205955
38	8351	205784
39	8594	206257
40	8796	205759
41	8992	205119
42	9219	205191
43	9415	204564
44	9611	203974
45	9820	203671
46	10033	203436
47	10250	203296
48	10482	203440
49	10678	202885
50	10891	202675
51	11099	202358
52	11324	202344
53	11561	202543
54	11783	202458
55	11984	202028
56	12202	201878
57	12401	201424
58	12618	201256
59	12816	200791
60	13057	200994
61	13275	200847
62	13505	200860
63	13720	200662
64	13960	200809
65	14173	200579
66	14377	200212
67	14592	200003
68	14836	200182
69	15032	199719
70	15253	199588
71	15469	199378
72	15702	199405
73	15911	199105
74	16119	198802
75	16315	198358
76	16545	198331
77	16756	198068
78	16969	197837
79	17177	197546
80	17387	197273
81	17610	197153
82	17826	196946
83	18033	196649
84	18242	196373
85	18471	196313
86	18698	196221
87	18898	195854
88	19100	195509
89	19303	195177
90	19525	195041
91	19738	194813
92	19967	194732
93	20196	194662
94	20425	194580
95	20649	194447
96	20874	194322
97	21078	194003
98	21295	193809
99	21522	193703
100	21720	193335
101	21951	193257
102	22189	193239
103	22405	193028
104	22630	192898
105	22881	192984
106	23125	193003
107	23345	192816
108	23552	192522
109	23790	192485
110	24027	192435
111	24235	192152
112	24470	192079
113	24676	191785
114	24887	191527
115	25113	191380
116	25330	191170
117	25546	190949
118	25764	190740
119	25984	190552
120	26207	190380
121	26437	190259
122	26657	190068
123	26881	189908
124	27097	189679
125	27317	189490
126	27517	189159
127	27742	188997
128	27943	188672
129	28136	188297
