,feature,importance
1952,V2967,0.033276725560666964
1955,V1437,0.032534100808392696
1992,V2589,0.02885840121142319
873,V2166,0.026268902202512878
1956,V3616,0.025616806603925124
2020,V0090,0.025275001604296188
886,V2185,0.024694150953339267
869,V2162,0.024559455008582975
1978,V3615,0.024054408292268015
2088,V2080,0.022125403159978685
1981,V1205,0.019930471655630777
2044,V1430,0.018672731847656165
1954,V2966,0.018183964396608687
696,V1737,0.017348685395101093
1959,V2899,0.017026519740807267
1960,V1819,0.01509375214965808
882,V2181,0.014996238858623334
1679,V4456,0.014971996180431102
1971,V0219,0.0141035392556626
1965,V2881,0.01364605194207269
884,V2183,0.013601082290763844
871,V2164,0.013485794535390283
878,V2171,0.01291907862583147
1957,V2900,0.012724024324802574
1818,V4731,0.01247827360661996
382,V0976,0.012127585207184322
1814,V4727,0.012037391175988732
1817,V4730,0.011838608027267383
1967,V4348,0.011429828579961832
1826,V4739,0.010928527714056557
1961,V1820,0.010779126123702965
1813,V4726,0.010758566546083315
2033,V4743,0.010664299769767016
1380,V3480,0.01066168778291482
1958,V4505,0.010543529831168408
876,V2169,0.010128351459813056
1963,V2860,0.009574068314819606
1966,V2855,0.009265292552421256
1962,V1818,0.009235776605577117
1969,V2862,0.008688198810611447
1973,V2859,0.008609222542914408
597,V1332,0.00851024541576989
1990,V1817,0.008310742413449257
2016,V0885,0.008303418245572736
2211,V4458,0.008223175863248833
1825,V4738,0.007945292106089519
1093,V2882,0.007182020573408443
1984,V4349,0.007052331399274969
2043,V1431,0.006898844073762345
2003,V0458,0.006517575355118932
1985,V0082,0.006326594713117029
2128,V0101,0.0062643500633426386
1953,V0386,0.006168599530694374
1968,V2861,0.006125608364011936
1987,V4350,0.005671676432519479
2007,V3099,0.0055326572249913
1980,V2635,0.005510945239698528
1993,V0085,0.005479965526002051
1982,V4716,0.005326630077801375
1989,V0083,0.005193730582090383
2027,V0096,0.005175817340648647
98,V0297,0.005118068101261475
1388,V3490,0.004943677289379389
2005,V4439,0.00467708864243932
1986,V2857,0.004657614271592225
1964,V1821,0.0046103247618801135
2001,V3102,0.004509668805789735
2045,V4363,0.004474967379531958
2004,V1544,0.004401180514079783
383,V0977,0.004382320082504387
2069,V2256,0.004361138746879878
1972,V4722,0.004182837552778318
100,V0301,0.0041081396400931
2078,V2856,0.004066557115961267
1974,V2948,0.003892140946744005
1994,V0121,0.0038285927382387674
2103,V2082,0.0037590615730606625
1988,V0459,0.0037585442607688258
97,V0295,0.0037090849946605498
2006,V4443,0.0035959265600927215
2065,V3098,0.0035404171256058214
2002,V4347,0.0035329856696126316
